Age,Time_of_Day,AQI,AQI_Category,Temperature,Precipitation,Suggested_Activity,Activity_Suggestion
57,20,86,Moderate,71.6,2.76,Stargazing,"The air is clear, perfect for stargazing."
88,21,68,Moderate,77.0,3.86,Stargazing,"The air is clear, perfect for stargazing."
13,18,89,Moderate,73.4,1.1,Play outdoor sports,Enjoy playing soccer or frisbee in the park.
51,19,37,Good,69.8,2.17,Stargazing,"The air is clear, perfect for stargazing."
19,12,59,Moderate,75.2,4.04,Have a picnic,The weather is great for an outdoor picnic.
39,21,32,Good,68.0,0.81,Stargazing,"The air is clear, perfect for stargazing."
50,18,78,Moderate,66.2,4.9,Go for a jog,The weather is perfect for a run or jog.
78,13,57,Moderate,51.8,0.48,Have a picnic,The weather is great for an outdoor picnic.
16,21,98,Moderate,53.6,1.27,Stargazing,"The air is clear, perfect for stargazing."
66,10,96,Moderate,57.2,4.43,Take a walk,Enjoy a peaceful walk in the park.
25,19,55,Moderate,78.8,2.55,Stargazing,"The air is clear, perfect for stargazing."
7,4,149,Unhealthy for Sensitive Groups,66.2,19.13,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
34,21,32,Good,69.8,3.01,Stargazing,"The air is clear, perfect for stargazing."
65,21,61,Moderate,75.2,1.93,Stargazing,"The air is clear, perfect for stargazing."
18,19,47,Good,75.2,2.89,Stargazing,"The air is clear, perfect for stargazing."
26,18,38,Good,84.2,4.19,Go for a jog,The weather is perfect for a run or jog.
70,17,36,Good,57.2,0.48,Take a walk,Enjoy a peaceful walk in the park.
64,3,346,Hazardous,82.4,14.2,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
18,18,461,Hazardous,82.4,12.63,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
95,1,452,Hazardous,73.4,12.76,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
15,15,242,Very Unhealthy,87.8,8.5,Stay indoors,"Stay indoors due to poor air quality, bad weather, or extreme temperatures."
